Area_Name,No_of_street_light,No_of_police_station,Type_Area,No_of_men,No_of_women,Location_of_Police_station,Women_safety_ratio,Safe_or_unsafe
Juhu_Beachside,100,2,Urban,5000,5500,Downtown,1.1,Safe
Saket_Residential,75,1,Suburban,3000,3200,Suburb Center,1.07,Safe
Whitefield_Farms,120,3,Rural,2000,1800,Village Square,0.9,Unsafe
Park_Street_Central,80,2,Urban,4500,4800,City Center,1.07,Safe
Indiranagar_Suburban,150,4,Suburban,6000,6500,Suburb Main Street,1.08,Safe
Banjara_Hills_Rural,50,1,Rural,1200,1000,Village Corner,0.83,Unsafe
Bodakdev_Urban,90,2,Urban,4000,4200,City Square,1.05,Safe
Kothrud_Suburb,110,3,Suburban,5500,5800,Suburb Park,1.05,Safe
Vaishali_Rural,70,1,Rural,1800,1600,Village Center,0.89,Unsafe
Gomti_Nagar_Urban,130,4,Urban,7000,7200,City Main Street,1.03,Safe
Sector_17_Suburb,60,2,Suburban,3500,3700,Suburb Street,1.06,Safe
Arera_Colony_Rural,100,3,Rural,2500,2300,Village Park,0.92,Unsafe
Cantt_Area_Urban,85,2,Urban,4800,5000,City Corner,1.04,Safe
Kakkanad_Suburb,140,4,Suburban,6500,7000,Suburb Square,1.08,Safe
Colva_Rural,40,1,Rural,1000,900,Village Main Street,0.9,Unsafe
Dwaraka_Nagar_Urban,95,3,Urban,4200,4500,City Park,1.07,Safe
Kamla_Nagar_Suburb,120,4,Suburban,6200,6800,Suburb Corner,1.1,Safe
Sigra_Rural,55,2,Rural,1500,1400,Village Street,0.93,Unsafe
Dharampeth_Urban,80,3,Urban,3800,4000,City Main Square,1.05,Safe
Vijayanagar_Suburb,110,4,Suburban,6800,7200,Suburb Main Square,1.06,Safe
Marine_Drive_Urban,95,2,Urban,4500,4900,Downtown,1.1,Safe
Lajpat_Nagar_Suburban,70,1,Suburban,3000,3300,Suburb Center,1.08,Safe
Vile_Parle_Rural,110,3,Rural,1800,1600,Village Square,0.92,Unsafe
Hazratganj_Urban,85,2,Urban,4200,4600,City Center,1.05,Safe
Koramangala_Suburban,130,4,Suburban,6500,7000,Suburb Main Street,1.08,Safe
Khandala_Rural,60,1,Rural,1200,1000,Village Corner,0.83,Unsafe
Maninagar_Urban,80,2,Urban,4000,4200,City Square,1.04,Safe
Kalyani_Nagar_Suburb,100,3,Suburban,5500,5800,Suburb Park,1.05,Safe
Malviya_Nagar_Rural,65,1,Rural,1700,1500,Village Center,0.88,Unsafe
Gachibowli_Urban,120,4,Urban,7000,7300,City Main Street,1.02,Safe
Sector_22_Suburb,55,2,Suburban,3500,3800,Suburb Street,1.06,Safe
Manesar_Rural,95,3,Rural,2400,2200,Village Park,0.91,Unsafe
Sarojini_Nagar_Urban,80,2,Urban,4600,4800,City Corner,1.03,Safe
Kakkanad_Suburb,140,4,Suburban,6700,7100,Suburb Square,1.07,Safe
Colva_Rural,40,1,Rural,1000,900,Village Main Street,0.9,Unsafe
Seethammadhara_Urban,90,3,Urban,4200,4500,City Park,1.07,Safe
Gandhi_Nagar_Suburb,110,4,Suburban,6300,6800,Suburb Corner,1.1,Safe
Jankipuram_Rural,60,2,Rural,1400,1300,Village Street,0.92,Unsafe
Dharampeth_Urban,75,3,Urban,3800,4000,City Main Square,1.05,Safe
Banashankari_Suburb,105,4,Suburban,6900,7200,Suburb Main Square,1.06,Safe
Malad_West_Urban,95,2,Urban,4800,5000,City Center,1.04,Safe
Koregaon_Park_Suburb,120,3,Suburban,5500,5800,Suburb Park,1.05,Safe
Anna_Nagar_Rural,70,1,Rural,1800,1600,Village Center,0.89,Unsafe
Marathahalli_Urban,130,4,Urban,7000,7200,City Main Street,1.03,Safe
Salt_Lake_Suburb,60,2,Suburban,3500,3700,Suburb Street,1.06,Safe
Gachibowli_Rural,100,3,Rural,2500,2300,Village Park,0.92,Unsafe
Prahlad_Nagar_Urban,85,2,Urban,4800,5000,City Corner,1.04,Safe
